zip,latitude,longitude,source
01519,42.203404,-71.679739,census
01520,42.334177,-71.854277,census
01521,42.046783,-72.180212,census
01522,42.375634,-71.867382,census
01523,42.483569,-71.675585,census
01524,42.246029,-71.917566,census
01525,42.098995,-71.642964,census
01526,42.0945,-71.7476,geonames
01527,42.192246,-71.777649,census
01529,42.036642,-71.578779,census
01531,42.326183,-72.133431,census
01532,42.323342,-71.646236,census
01534,42.138896,-71.645003,census
01535,42.267564,-72.066876,census
01536,42.231309,-71.692642,census
01537,42.158966,-71.897051,census
01538,42.0876,-71.6412,geonames
01540,42.113727,-71.86085,census
01541,42.454125,-71.87754,census
01542,42.204251,-71.908907,census
01543,42.388285,-71.969865,census
01545,42.284767,-71.714228,census
01546,42.3648,-71.8969,geonames
01550,42.059737,-72.033908,census
01560,42.175395,-71.674223,census
01561,42.445825,-71.688484,census
01562,42.247211,-71.991867,census
01564,42.447924,-71.776045,census
01566,42.103214,-72.079545,census
01568,42.177529,-71.606322,census
01569,42.055921,-71.631128,census
01570,42.049253,-71.846219,census
01571,42.053778,-71.935075,census
01581,42.268426,-71.613309,census
01583,42.375357,-71.789363,census
01585,42.236908,-72.162221,census
01586,42.1712,-71.8037,geonames
01588,42.116108,-71.664614,census
01590,42.132051,-71.750318,census
01601,42.2626,-71.8023,geonames
01602,42.269189,-71.850728,census
01603,42.243826,-71.843569,census
01604,42.253485,-71.767932,census
01605,42.289683,-71.787793,census
01606,42.313887,-71.794185,census
01607,42.225974,-71.788894,census
01608,42.26209,-71.801428,census
01609,42.285114,-71.829987,census
01610,42.247049,-71.808366,census
01611,42.240977,-71.877035,census
01612,42.296798,-71.928991,census
01613,42.2933,-71.802,geonames
01614,42.2626,-71.8023,geonames
01615,42.2626,-71.8023,geonames
01653,42.3648,-71.8969,geonames
01655,42.3648,-71.8969,geonames
01701,42.319587,-71.4428,census
01702,42.282379,-71.436623,census
01703,42.4464,-71.4594,geonames
01704,42.4464,-71.4594,geonames
01705,42.4464,-71.4594,geonames
01718,42.522816,-71.430271,census
01719,42.485985,-71.520985,census
01720,42.483953,-71.438495,census
01721,42.257755,-71.473526,census
01730,42.499332,-71.281901,census
01731,42.464648,-71.28483,census
01740,42.439933,-71.601885,census
01741,42.536807,-71.361324,census
01742,42.462911,-71.364496,census
01745,42.292114,-71.499197,census
01746,42.195951,-71.45343,census
01747,42.123007,-71.531404,census
01748,42.224096,-71.540489,census
01749,42.389071,-71.545864,census
01752,42.349617,-71.547214,census
01754,42.425955,-71.456256,census
01756,42.09387,-71.544519,census
01757,42.158692,-71.521419,census
01760,42.284822,-71.348811,census
01770,42.231947,-71.372963,census
01772,42.302877,-71.530828,census
01773,42.425506,-71.310812,census
01775,42.429688,-71.512514,census
01776,42.383367,-71.42107,census
01778,42.356275,-71.361942,census
01784,42.2376,-71.562,geonames
01801,42.488703,-71.154383,census
01803,42.503227,-71.201713,census
01805,42.5048,-71.1956,geonames
01810,42.648044,-71.161751,census
01812,42.6472,-71.1842,geonames
01813,42.4793,-71.1523,geonames
01815,42.4793,-71.1523,geonames
01821,42.54933,-71.251725,census
01822,42.5584,-71.2689,geonames
01824,42.59079,-71.355182,census
01825,42.5751,-71.0787,geonames
01826,42.679723,-71.30068,census
01827,42.676149,-71.499772,census
01830,42.796313,-71.053436,census
01831,42.7711,-71.1221,geonames
01832,42.791114,-71.132859,census
01833,42.726226,-70.983318,census
01834,42.7539,-71.015935,census
01835,42.751325,-71.094411,census
01840,42.706763,-71.160403,census
01841,42.715079,-71.1483,census
01842,42.707,-71.1631,geonames
01843,42.689988,-71.16039,census
01844,42.742641,-71.178651,census
01845,42.673909,-71.091334,census
01850,42.656045,-71.303309,census
01851,42.627999,-71.336757,census
01852,42.632978,-71.295616,census
01853,42.6334,-71.3162,geonames
01854,42.649481,-71.348229,census
01860,42.838603,-71.011997,census
01862,42.578543,-71.295592,census
01863,42.630484,-71.397895,census
01864,42.578401,-71.084448,census
